time = 20150812-193514; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193514; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736068; Long = 37.666116; Alt = 108.440024; Hdg = 4.256719; type = 2.17.104.14
time = 20150812-193514; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736528; Long = 37.666517; Alt = 107.705037; Hdg = 4.667160; type = 2.17.104.80
time = 20150812-193514; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705847; Long = 37.637696; Alt = 87.038277; Hdg = 4.348559; type = 2.17.104.7
time = 20150812-193514; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705880; Long = 37.637942; Alt = 88.903100; Hdg = 5.249677; type = 2.17.26.10
time = 20150812-193514; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
time = 20150812-193514; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721398; Long = 37.624157; Alt = 94.113268; Hdg = 1.535313; type = 2.17.26.10
time = 20150812-193514; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193514; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193515; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193515; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193515; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736318; Long = 37.666274; Alt = 107.708560; Hdg = 5.571752; type = 2.17.104.80
time = 20150812-193515; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.280879; Hdg = 3.875369; type = 1.1.6.58
time = 20150812-193515; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.640070; Long = 37.621287; Alt = 147.242111; Hdg = 6.157635; type = 1.1.6.16
time = 20150812-193515; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705845; Long = 37.638083; Alt = 91.153009; Hdg = 5.512082; type = 2.17.26.10
time = 20150812-193515; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705760; Long = 37.637917; Alt = 91.255321; Hdg = 5.821018; type = 2.17.104.7
